p_bat,bat,matches,batruns,ballfaced,strike rate,dismissals
308967,Jos Buttler,246,8206,5615,146.14425645592164,215
232359,Colin Munro,284,7934,5588,141.98282032927702,257
348144,Babar Azam,210,7881,6104,129.11205766710353,184
5334,Aaron Finch,256,7611,5408,140.73594674556213,226
253802,Virat Kohli,210,7608,5584,136.2464183381089,174
249866,Alex Hales,272,7559,5037,150.0694858050427,257
296597,James Vince,241,7341,5302,138.4571859675594,222
325026,Glenn Maxwell,275,7021,4633,151.54327649471185,234
230559,Kieron Pollard,302,6838,4591,148.9435852755391,222
44828,Faf du Plessis,207,6647,4819,137.93318115791658,187
326637,Chris Lynn,211,6362,4422,143.8715513342379,189
34102,Rohit Sharma,231,6242,4601,135.66615953053685,221
422108,KL Rahul,165,6214,4489,138.42726665181556,139
298438,Jason Roy,234,6205,4367,142.08839019922144,225
219889,David Warner,169,6203,4415,140.4983012457531,143
28235,Shikhar Dhawan,200,6179,4779,129.29483155471857,180
51880,Chris Gayle,211,6069,4191,144.81030780243378,193
379143,Quinton de Kock,196,6063,4327,140.12017564132194,185
321777,David Miller,258,5727,4112,139.27529182879377,177
42657,Shoaib Malik,219,5692,4374,130.13260173754,170
446507,Suryakumar Yadav,177,5400,3510,153.84615384615384,146
403902,Liam Livingstone,216,5394,3758,143.53379457158061,200
236489,Dawid Malan,186,5338,3977,134.2217752074428,166
323389,Mohammad Rizwan,155,5330,4169,127.84840489325977,120
44936,AB de Villiers,157,5323,3361,158.37548348705744,125
303427,Paul Stirling,210,5207,3598,144.71928849360756,204
45705,Colin Ingram,200,5162,3602,143.30927262631872,164
823509,Glenn Phillips,186,5091,3610,141.02493074792244,166
276298,Andre Russell,244,5084,3008,169.0159574468085,192
226492,Martin Guptill,187,5063,3783,133.8355802273328,176
8180,Shane Watson,188,4972,3633,136.85659234792183,167
277906,Kane Williamson,167,4891,3924,124.64322120285424,138
325012,Marcus Stoinis,206,4885,3525,138.58156028368793,159
604302,Nicholas Pooran,217,4875,3348,145.60931899641577,189
318845,Rilee Rossouw,192,4846,3215,150.73094867807154,164
512191,Fakhar Zaman,174,4545,3353,135.55025350432447,173
379140,Devon Conway,124,4518,3380,133.66863905325442,97
669365,Phil Salt,187,4490,2954,151.99729180771834,174
256956,Laurie Evans,172,4460,3263,136.68403309837572,143
24598,Eoin Morgan,201,4456,3387,131.56185414821377,170
297628,Sam Billings,212,4230,3164,133.69152970922883,182
431901,Evin Lewis,162,4171,2874,145.12874043145442,152
308798,D'Arcy Short,130,4056,3063,132.41919686581784,119
642519,Shreyas Iyer,151,4055,3154,128.56689917564998,132
571911,Joe Clarke,154,4045,2745,147.35883424408016,143
41434,Mohammad Hafeez,168,4031,3243,124.29848905334566,139
10582,Ravi Bopara,178,3967,3089,128.42343800582714,136
425943,Sanju Samson,154,3935,2813,139.88624244578742,137
422593,Daniel Bell-Drummond,122,3934,2796,140.70100143061515,112
37737,Brendon McCullum,150,3913,2712,144.28466076696165,142
931581,Rishabh Pant,152,3863,2709,142.59874492432633,132
4864,Dan Christian,224,3836,2676,143.34828101644246,158
521637,Ben Duckett,146,3826,2753,138.9756629131856,128
8917,Moeen Ali,177,3824,2574,148.56254856254856,148
53116,Lendl Simmons,143,3804,3101,122.67010641728474,128
12454,Joe Denly,141,3752,2840,132.11267605633802,128
23460,Luke Wright,125,3747,2674,140.12715033657443,118
230193,Matthew Wade,153,3722,2661,139.87222848553176,133
625371,Hardik Pandya,188,3698,2590,142.77992277992277,131
670025,Shimron Hetmyer,172,3696,2776,133.14121037463977,142
322810,Cameron Delport,153,3663,2658,137.81038374717832,141
470633,Tom Kohler-Cadmore,135,3643,2574,141.53069153069154,125
625964,Tim Seifert,141,3618,2738,132.14024835646458,128
25913,Mohammad Nabi,191,3576,2561,139.6329558766107,151
51862,Andre Fletcher,148,3575,2924,122.2640218878249,131
555850,Sam Hain,114,3559,2613,136.20359739762725,88
6161,Michael Klinger,113,3558,2867,124.10184862225323,101
333066,Johnson Charles,129,3517,2647,132.86739705326784,127
603410,Ben McDermott,140,3500,2630,133.07984790874525,119
1070173,Shubman Gill,109,3444,2536,135.8044164037855,96
41028,Kamran Akmal,126,3406,2483,137.17277486910996,121
251721,Adam Lyth,117,3384,2180,155.22935779816513,113
267192,Steven Smith,118,3379,2557,132.14704732107938,101
269280,Reeza Hendricks,110,3362,2669,125.96478081678531,102
297433,Jonny Bairstow,113,3357,2369,141.70536091177712,103
337790,Rassie van der Dussen,116,3350,2529,132.4634242783709,94
290630,Manish Pandey,136,3340,2682,124.53392990305743,103
