p_bowl,bowl,bowlruns,ballfaced,p_match,bowl_style,economy,outs,average,strike rate
535353,Ottniel Baartman,1066,935,44,RFM,6.840641711229947,71,15.014084507042254,13.169014084507042
351588,Mark Wood,1231,936,41,RF,7.891025641025641,79,15.582278481012658,11.848101265822784
535393,Senuran Muthusamy,785,749,46,SLA,6.288384512683578,49,16.020408163265305,15.285714285714286
326968,Michael Bracewell,834,671,40,OB,7.4575260804769,52,16.03846153846154,12.903846153846153
307808,Rohan Mustafa,901,757,41,OB,7.141347424042272,56,16.089285714285715,13.517857142857142
897549,Will Jacks,733,609,49,OB,7.221674876847291,45,16.288888888888888,13.533333333333333
784379,Wanindu Hasaranga de Silva,2547,2210,101,RWS,6.914932126696833,156,16.326923076923077,14.166666666666666
960361,Sandeep Lamichhane,2499,2198,98,RWS,6.821656050955414,148,16.885135135135137,14.85135135135135
42699,Saeed Ajmal,1037,873,39,OB,7.1271477663230245,61,17.0,14.311475409836065
800675,Karan KC,737,515,26,RF,8.586407766990291,43,17.13953488372093,11.976744186046512
793463,Rashid Khan,8739,8132,348,RWS,6.447860304968027,499,17.51302605210421,16.296593186372746
859899,Calvin Harrison,790,625,36,RWS,7.584,45,17.555555555555557,13.88888888888889
1039481,Gus Atkinson,1182,831,44,RFM,8.534296028880867,67,17.64179104477612,12.402985074626866
526441,Mark Adair,2260,1731,83,RFM,7.8336221837088384,128,17.65625,13.5234375
6903,Clint McKay,1485,1188,57,RFM,7.5,83,17.89156626506024,14.313253012048193
937953,Bilal Khan,969,818,38,LMF,7.10757946210269,54,17.944444444444443,15.148148148148149
482478,Jan Frylinck,1059,848,42,LFM,7.492924528301887,59,17.949152542372882,14.372881355932204
1170471,Tanveer Sangha,845,651,32,RWS,7.788018433179723,47,17.97872340425532,13.851063829787234
277797,Kyle Nipper,636,547,30,SLA,6.976234003656307,35,18.17142857142857,15.628571428571428
52334,Imran Khan,527,501,28,RWS,6.311377245508982,29,18.17241379310345,17.275862068965516
959771,Nathan Smith,874,651,33,RFM,8.055299539170507,48,18.208333333333332,13.5625
596010,Gerald Coetzee,1021,740,35,RF,8.278378378378378,56,18.232142857142858,13.214285714285714
330223,Bernard Scholtz,1196,1176,56,SLA,6.1020408163265305,65,18.4,18.092307692307692
40618,Imran Tahir,6705,5715,254,RWS,7.039370078740157,360,18.625,15.875
481979,Anrich Nortje,2879,2321,103,RF,7.442481688927186,154,18.694805194805195,15.071428571428571
638912,Matthew Kelly,1029,746,35,RFM,8.276139410187668,55,18.70909090909091,13.563636363636364
533862,Mohammad Naveed,694,654,29,RM,6.36697247706422,37,18.756756756756758,17.675675675675677
459508,Andrew Tye,6407,4695,213,RFM,8.187859424920127,341,18.788856304985337,13.7683284457478
407265,Josh Davey,1973,1348,67,RFM,8.781899109792285,105,18.79047619047619,12.838095238095239
