Afghanistan,Australia,Bangladesh,Canada,England ,India,Ireland,Namibia,Nepal,Netherlands,New Zealand,Oman,Papua New Guinea,Scotland,South Africa,Sri Lanka,Uganda,United States,West Indies,Pakistan
Rashid Khan,Mitchell Marsh,Najmul Hossain Shanto,Saad Bin Zafar,Jos Buttler,Rohit Sharma,Paul Stirling,Gerhard Erasmus,Rohit Paudel,Scott Edwards,Kane Williamson,Aqib Ilyas,Assad Vala,Richie Berrington,Aiden Markram,Wanindu Hasaranga,Brian Masaba,Monank Patel,Rovman Powell,Babar Azam
Ibrahim Zadran,Ashton Agar,Taskin Ahmed,Aaron Johnson,Moeen Ali,Hardik Pandya,Mark Adair,Zane Green,Aasif Sheikh,Aryan Dutt,Finn Allen,Zeeshan Maqsood,Alei Nao,Matthew Cross,Ottniel Baartman,Charith Asalanka,Simon Ssesazi,Aaron Jones,Alzarri Joseph,Fakhar Zaman
Azmatullah Omarzai,Pat Cummins,Litton Das,Dillon Heyliger,Jofra Archer,Yashasvi Jaiswal,Ross Adair,Michael van Lingen,Anil Kumar Sah,Bas de Leede,Trent Boult,Kashyap Prajapati,Chad Soper,Bradley Currie,Gerald Coetzee,Kusal Mendis,Roger Mukasa,Andries Gous,Johnson Charles,Azam Khan
Najibullah Zadran,Tim David,Soumya Sarkar,Dilpreet Bajwa,Jonny Bairstow,Virat Kohli,Andy Balbirnie,Dylan Leicher,Kushal Bhurtel,Saqib Zulfiqar,Michael Bracewell,Pratik Athavale,Charles Amini,Chris Greaves,Quinton de Kock,Pathum Nissanka,Cosmas Kyewuta,Corey Anderson,Roston Chase,Iftikhar Ahmed
Mohammad Ishaq,Nathan Ellis,Tanzid Hasan,Harsh Thaker,Harry Brook,Suryakumar Yadav,Curtis Campher,Ruben Trumpelmann,Kushal Malla,Kyle Klein,Mark Chapman,Ayaan Khan,Hila Vare,Oli Carter,Bjorn Fortuin,Kamindu Mendis,Dinesh Nakrani,Ali Khan,Shimron Hetmyer,Mohammad Rizwan
Mohammad Nabi,Cameron Green,Shakib Al Hasan,Jeremy Gordon,Sam Curran,Rishabh Pant,Gareth Delany,Jack Brassell,Dipendra Singh Airee,Logan van Beek,Devon Conway,Shoaib Khan,Hiri Hiri,Jack Jarvis,Reeza Hendricks,Sadeera Samarawickrama,Fred Achelam,Harmeet Singh,Jason Holder,Saim Ayub
Gulbadin Naib,Josh Hazlewood,Towhid Hridoy,Junaid Siddiqui,Ben Duckett,Sanju Samson,George Dockrell,Ben Shikongo,Lalit Rajbanshi,Max O'Dowd,Lockie Ferguson,Mohammad Nadeem,Jack Gardner,Michael Jones,Marco Jansen,Angelo Mathews,Kenneth Waiswa,Jessy Singh,Shai Hope,Usman Khan
Karim Janat,Travis Head,Mahmudullah,Kaleem Sana,Tom Hartley,Shivam Dube,Graham Hume,Tangeni Lungameni,Karan KC,Michael Levitt,Matt Henry,Naseem Khushi,John Kariko,Michael Leask,Heinrich Klaasen,Dasun Shanaka,Alpesh Ramjani,Milind Kumar,Akeal Hosein,Imad Wasim
Nangeyalia Kharote,Josh Inglis,Jaker Ali,Kanwarpal Tathgur,Will Jacks,Ravindra Jadeja,Josh Little,Nikolaas Davin,Gulsan Jha,Paul van Meekeren,Daryl Mitchell,Mehran Khan,Kabua Morea,Brandon McMullen,Keshav Maharaj,Dhananjaya de Silva,Frank Nsubuga,Nisarg Patel,Shamar Joseph,Shadab Khan
Mujeeb Ur Rahman,Glenn Maxwell,Tanvir Islam,Navneet Dhaliwal,Chris Jordan,Axar Patel,Barry McCarthy,JJ Smit,Sompal Kami,Sybrand Engelbrecht,James Neesham,Bilal Khan,Kiplin Doriga,George Munsey,David Miller,Maheesh Theekshana,Henry Ssenyondo,Nitish Kumar,Brandon King,Abbas Afridi
Noor Ahmad,Mitchell Starc,Mahedi Hasan,Nicholas Kirton,Liam Livingstone,Kuldeep Yadav,Neil Rock,Jan Frylinck,Pratis GC,Teja Nidamanuru,Glenn Phillips,Rafiullah,Lega Siaka,Safyaan Sharif,Anrich Nortje,Dunith Wellalage,Bilal Hassan,Nosthush Kenjige,Gudakesh Motie,Abrar Ahmed
