Country,overall,batting_pp,batting_mid,batting_death,bowling_pp,bowling_mid,bowling_death
Canada,0.72,1.17,0.64,1.26,1.02,-0.49,0.73
Ireland,-0.25,0.15,0.0,-0.24,-0.17,-0.91,-0.31
Namibia,-0.21,-0.25,-0.58,0.42,-0.31,-0.23,-0.28
Nepal,0.14,-0.21,0.36,0.81,-0.43,0.47,-0.17
Netherlands,-0.6,-0.24,-0.55,-0.58,-0.71,-0.84,-0.68
Oman,-0.16,-0.18,-0.26,-0.68,0.28,0.06,-0.18
Papua New Guinea,0.17,-0.67,-0.07,-0.19,0.99,0.51,0.44
Scotland,-0.19,0.45,0.07,-0.3,-0.3,-0.61,-0.43
Uganda,0.46,-0.46,-0.35,-0.22,1.33,1.17,1.29
United States,-0.09,0.29,0.13,0.28,-0.1,-0.27,-0.86
