p_bat,bat
5334,Aaron Finch
6161,Michael Klinger
530011,Travis Head
5961,Moises Henriques
500268,Ashton Turner
270484,James Faulkner
429754,Niroshan Dickwella
50747,Upul Tharanga
304735,Dilshan Munaweera
360456,Asela Gunaratne
268740,Seekkuge Prasanna
7252,Tim Paine
489889,Pat Cummins
629074,Kusal Mendis
49535,Nuwan Kulasekara
437316,Dasun Shanaka
321777,David Miller
230559,Kieron Pollard
269280,Reeza Hendricks
337790,Rassie van der Dussen
322810,Cameron Delport
540316,Andile Phehlukwayo
221140,David Wiese
600498,Aiden Markram
327830,Dwaine Pretorius
44932,Jean-Paul Duminy
43906,Hashim Amla
299572,Sikandar Raza
422108,KL Rahul
33141,Ambati Rayudu
398506,Mandeep Singh
290630,Manish Pandey
290716,Kedar Jadhav
28081,MS Dhoni
554691,Axar Patel
290727,Rishi Dhawan
333066,Johnson Charles
51862,Andre Fletcher
8180,Shane Watson
5939,Michael Hussey
53115,Daren Sammy
53116,Lendl Simmons
431901,Evin Lewis
44828,Faf du Plessis
259410,Ahmed Shehzad
42657,Shoaib Malik
604302,Nicholas Pooran
53118,Dwayne Smith
326637,Chris Lynn
670025,Shimron Hetmyer
37737,Brendon McCullum
232359,Colin Munro
52917,Denesh Ramdin
317273,Umar Akmal
51439,Dwayne Bravo
230558,Sunil Narine
51880,Chris Gayle
227758,Imad Wasim
47492,Dale Steyn
226492,Martin Guptill
233514,Thisara Perera
43265,Sohail Tanvir
44936,AB de Villiers
53191,Jerome Taylor
276298,Andre Russell
56194,Tamim Iqbal
280734,Imrul Kayes
373538,Sabbir Rahman
436677,Soumya Sarkar
56025,Mahmudullah
550133,Mosaddek Hossain
56007,Mashrafe Mortaza
277662,Corey Anderson
707113,Tom Bruce
55395,Colin de Grandhomme
7502,Luke Ronchi
502714,Mitchell Santner
379143,Quinton de Kock
439952,Chris Morris
232364,Tim Southee
24598,Eoin Morgan
298438,Jason Roy
230371,Ben Cutting
901157,Arjun Nair
308798,D'Arcy Short
4451,George Bailey
8119,Adam Voges
325026,Glenn Maxwell
6683,Shaun Marsh
325012,Marcus Stoinis
603410,Ben McDermott
457249,Carlos Brathwaite
557295,Hilton Cartwright
826679,Sam Heazlett
9310,Tim Bresnan
267479,Stiaan van Zyl
308967,Jos Buttler
19264,Liam Plunkett
52983,Marlon Samuels
253802,Virat Kohli
