,p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,ball.1,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,pitchLine,pitchLength,shotType
165211,1003857,1,Farhaan Behardien,44410,Titans,Imran Tahir,40618,Dolphins,12,1003857_1_17_12,run,1,False,,44410,17,12,0,0,0,0,29,18,4.0,1,38,144,3,102,,0,8.47,,,0,2016-11-20,2016,"Mangaung Oval, Bloemfontein",South Africa,Titans,Dolphins,CSA T20 Challenge,RHB,LBG,spin bowler,1,1,1,True,0,0,0,,,
328978,851935,1,Keshav Maharaj,267724,Dolphins,Hardus Viljoen,375126,Lions,13,851935_1_17_13,run,1,False,,267724,17,13,0,0,0,0,12,10,4.0,1,37,126,6,102,,0,7.41,,,0,2015-11-04,2015,"Kingsmead, Durban",South Africa,Dolphins,Lions,Ram Slam T20 Challenge,RHB,RF,pace bowler,1,1,1,True,0,0,0,,,
328979,851935,1,Keshav Maharaj,267724,Dolphins,Hardus Viljoen,375126,Lions,12,851935_1_18_12,four,4,False,,267724,18,12,0,0,0,0,11,9,3.5,1,36,125,6,107,,0,7.0,,,0,2015-11-04,2015,"Kingsmead, Durban",South Africa,Dolphins,Lions,Ram Slam T20 Challenge,RHB,RF,pace bowler,4,1,4,True,0,0,0,,,
428555,1253131,1,Aruna Dharmasena,710433,Panadura Sports Club,Maheesh Theekshana,1138316,Sri Lanka Army,12,1253131_1_4_12,no run,0,False,,710433,4,12,0,0,0,0,3,7,2.0,1,4,11,2,24,,0,2.75,,,0,2021-03-07,2021,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Sri Lanka Army Sports Club,Sri Lanka Army Sports Club,SLC T20,RHB,OB,spin bowler,0,1,0,True,0,0,0,,,
622199,1318342,2,Keshan Wanniarachchi,1027853,Kurunegala Youth Cricket Club,Sachithra Senanayake,273439,Sri Lanka Navy Sports Club,12,1318342_2_1_12,no run,0,False,,1027853,1,12,0,0,0,0,0,2,1.0,1,1,1,1,6,131.0,114,1.0,6.89,132.0,120,2022-06-12,2022,"P Sara Oval, Colombo",Sri Lanka,Sri Lanka Navy Sports Club,Kurunegala Youth Cricket Club,Clubs T20,LHB,OB,spin bowler,0,1,0,True,0,0,0,,,
672073,1137476,1,Sachitha Jayathilake,727399,Police Sports Club,Himesh Ramanayake,824537,Burgher Recreation Club,12,1137476_1_9_12,no run,0,False,,727399,9,12,0,0,0,0,0,2,2.4,1,19,55,5,52,,0,6.34,,,0,2018-03-01,2018,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Burgher Recreation Club,Police Sports Club,SLC Twenty-20 Tournament,RHB,RMF,pace bowler,0,1,0,True,0,0,0,,,
672074,1137476,1,Sachitha Jayathilake,727399,Police Sports Club,Himesh Ramanayake,824537,Burgher Recreation Club,13,1137476_1_9_13,no run,0,False,,727399,9,13,0,0,0,0,0,3,2.5,1,19,55,5,53,,0,6.22,,,0,2018-03-01,2018,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Burgher Recreation Club,Police Sports Club,SLC Twenty-20 Tournament,RHB,RMF,pace bowler,0,1,0,True,0,0,0,,,
672075,1137476,1,Sachitha Jayathilake,727399,Police Sports Club,Himesh Ramanayake,824537,Burgher Recreation Club,14,1137476_1_9_14,no run,0,False,,727399,9,14,0,0,0,0,0,4,3.0,1,19,55,5,54,,0,6.11,,,0,2018-03-01,2018,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Burgher Recreation Club,Police Sports Club,SLC Twenty-20 Tournament,RHB,RMF,pace bowler,0,1,0,True,0,0,0,,,
672740,1137476,1,Sachitha Jayathilake,727399,Police Sports Club,Chamikara Edirisinghe,414677,Burgher Recreation Club,12,1137476_1_11_12,no run,0,False,,727399,11,12,0,0,0,0,2,9,2.0,1,9,67,6,66,,0,6.09,,,0,2018-03-01,2018,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Burgher Recreation Club,Police Sports Club,SLC Twenty-20 Tournament,RHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
673329,1174798,2,Dushan Vimukthi,697159,Sri Lanka Army,Ishan Jayaratne,301871,Ragama Cricket Club,12,1174798_2_16_12,no run,0,False,,697159,16,12,0,0,0,0,0,1,3.0,2,13,117,7,96,44.0,24,7.31,11.0,161.0,120,2019-02-21,2019,"FTZ Sports Complex (Board of Investment), Katunayake",Sri Lanka,Ragama Cricket Club,Sri Lanka Army Sports Club,SLC T20,RHB,RFM,pace bowler,0,1,0,True,0,0,0,,,
